# time(s) T(K) rho(g/cm^3) p_central(dyne/cm^2) epsilon_nuc epsilon_nu epsilon_gravity cv  t_heat t_dyn X_c12 X_o16 X_p X_he4 X_ne20 X_na23 X_mg24
0.000000e+00 6.999952e+05 1.558000e+08 3.943311e+25 0.000000e+00 0.000000e+00 6.018069e+08 2.561675e+07 0.000000e+00 3.101083e-01 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.497239e+05 1.140379e+07 1.55889038e+08 3.946686e+25 -2.113134e-111 4.892805e-07 7.049380e+08  9.269408e+061.399697e+05 3.100197e-01 5.000000e-01 5.000000e-01 4.195284e-130 2.241469e-129 1.120735e-128 9.649153e-129 1.232439e-165
1.597055e+05 1.216925e+07 1.55895398e+08 3.946911e+25 -1.184544e-107 7.420210e-07 7.118074e+08  9.281917e+061.487046e+05 3.100134e-01 5.000000e-01 5.000000e-01 2.352916e-126 1.256217e-125 6.281087e-125 5.411707e-125 2.887806e-161
1.696870e+05 1.294105e+07 1.55901758e+08 3.947136e+25 -3.391686e-104 1.099108e-06 7.186765e+08  9.294530e+061.573830e+05 3.100071e-01 5.000000e-01 5.000000e-01 6.740891e-123 3.596452e-122 1.798226e-121 1.550405e-121 3.322347e-157
1.796686e+05 1.371917e+07 1.55908118e+08 3.947361e+25 -5.415668e-101 1.594362e-06 7.255452e+08  9.307248e+061.660070e+05 3.100008e-01 5.000000e-01 5.000000e-01 1.077061e-119 5.742572e-119 2.871286e-118 2.477240e-118 2.042129e-153
1.896502e+05 1.450356e+07 1.55914478e+08 3.947587e+25 -5.183423e-98 2.270000e-06 7.324136e+08  9.320070e+061.745784e+05 3.099944e-01 5.000000e-01 5.000000e-01 1.031685e-116 5.497085e-116 2.748542e-115 2.372876e-115 7.198366e-150
1.996318e+05 1.529422e+07 1.55920837e+08 3.947812e+25 -3.157757e-95 3.178179e-06 7.392817e+08  9.332995e+061.830989e+05 3.099881e-01 5.000000e-01 5.000000e-01 6.291061e-114 3.349940e-113 1.674970e-112 1.446944e-112 1.544904e-146
2.096134e+05 1.609111e+07 1.55927197e+08 3.948037e+25 -1.287731e-92 4.382739e-06 7.461495e+08  9.346023e+061.915704e+05 3.099818e-01 5.000000e-01 5.000000e-01 2.568463e-111 1.366855e-110 6.834274e-110 5.907465e-110 2.124484e-143
2.195950e+05 1.689421e+07 1.55933557e+08 3.948262e+25 -3.668543e-90 5.961170e-06 7.530168e+08  9.359153e+061.999945e+05 3.099755e-01 5.000000e-01 5.000000e-01 7.327376e-109 3.897095e-108 1.948547e-107 1.685296e-107 1.955804e-140
2.295766e+05 1.770349e+07 1.55939917e+08 3.948487e+25 -7.572022e-88 8.006812e-06 7.598839e+08  9.372385e+062.083727e+05 3.099692e-01 5.000000e-01 5.000000e-01 1.514921e-106 8.052541e-106 4.026270e-105 3.484319e-105 1.251908e-137
2.395582e+05 1.851892e+07 1.55946277e+08 3.948712e+25 -1.168398e-85 1.063131e-05 7.667506e+08  9.385718e+062.167066e+05 3.099628e-01 5.000000e-01 5.000000e-01 2.342180e-104 1.244286e-103 6.221428e-103 5.387014e-103 5.758455e-135
2.495398e+05 1.934047e+07 1.55952637e+08 3.948937e+25 -1.384883e-83 1.396737e-05 7.736170e+08  9.399152e+062.249978e+05 3.099565e-01 5.000000e-01 5.000000e-01 2.782474e-102 1.477386e-101 7.386928e-101 6.399690e-101 1.959046e-132
2.595214e+05 2.016813e+07 1.55958997e+08 3.949162e+25 -1.291044e-81 1.817177e-05 7.804830e+08  9.412687e+062.332476e+05 3.099502e-01 5.000000e-01 5.000000e-01 2.600707e-100 1.380139e-99 6.900695e-99 5.981627e-99 5.055856e-130
2.695030e+05 2.100186e+07 1.55965356e+08 3.949387e+25 -9.664104e-80 2.342873e-05 7.873488e+08  9.426322e+062.414575e+05 3.099439e-01 5.000000e-01 5.000000e-01 1.952511e-98 1.035616e-97 5.178079e-97 4.490775e-97 1.012230e-127
2.794845e+05 2.184163e+07 1.55971716e+08 3.949612e+25 -5.915439e-78 2.995362e-05 7.942141e+08  9.440057e+062.496288e+05 3.099376e-01 5.000000e-01 5.000000e-01 1.199089e-96 6.356757e-96 3.178378e-95 2.757906e-95 1.603715e-125
2.894661e+05 2.268742e+07 1.55978076e+08 3.949837e+25 -3.008951e-76 3.799704e-05 8.010792e+08  9.453891e+062.577628e+05 3.099312e-01 5.000000e-01 5.000000e-01 6.121598e-95 3.243638e-94 1.621819e-93 1.407968e-93 2.046575e-123
2.994477e+05 2.353921e+07 1.55984436e+08 3.950062e+25 -1.290219e-74 4.784929e-05 8.079438e+08  9.467824e+062.658607e+05 3.099249e-01 5.000000e-01 5.000000e-01 2.635421e-93 1.395743e-92 6.978715e-92 6.061468e-92 2.137269e-121
3.094293e+05 2.439696e+07 1.55990796e+08 3.950287e+25 -4.723659e-73 5.984527e-05 8.148082e+08  9.481855e+062.739238e+05 3.099186e-01 5.000000e-01 5.000000e-01 9.690618e-92 5.129785e-91 2.564892e-90 2.228842e-90 1.852666e-119
3.194109e+05 2.526065e+07 1.55997156e+08 3.950512e+25 -1.493576e-71 7.436984e-05 8.216722e+08  9.495984e+062.819533e+05 3.099123e-01 5.000000e-01 5.000000e-01 3.078459e-90 1.628835e-89 8.144176e-89 7.080456e-89 1.350222e-117
3.293925e+05 2.613026e+07 1.56003516e+08 3.950737e+25 -4.120732e-70 9.186365e-05 8.285359e+08  9.510211e+062.899502e+05 3.099060e-01 5.000000e-01 5.000000e-01 8.536028e-89 4.514394e-88 2.257197e-87 1.963287e-87 8.369729e-116
3.393741e+05 2.700575e+07 1.56009875e+08 3.950962e+25 -1.001256e-68 1.128295e-04 8.353992e+08  9.524535e+062.979157e+05 3.098997e-01 5.000000e-01 5.000000e-01 2.085162e-87 1.102267e-86 5.511337e-86 4.795873e-86 4.459366e-114
3.493557e+05 2.788709e+07 1.56016235e+08 3.951187e+25 -2.160634e-67 1.378392e-04 8.422622e+08  9.538955e+063.058508e+05 3.098933e-01 5.000000e-01 5.000000e-01 4.525035e-86 2.390980e-85 1.195490e-84 1.040758e-84 2.061739e-112
3.593373e+05 2.877427e+07 1.56022595e+08 3.951412e+25 -4.172416e-66 1.675412e-04 8.491249e+08  9.553471e+063.137566e+05 3.098870e-01 5.000000e-01 5.000000e-01 8.790246e-85 4.642642e-84 2.321321e-83 2.021757e-83 8.343914e-111
3.693189e+05 2.966725e+07 1.56028955e+08 3.951637e+25 -7.260568e-65 2.026685e-04 8.559872e+08  9.568083e+063.216340e+05 3.098807e-01 5.000000e-01 5.000000e-01 1.539140e-83 8.125600e-83 4.062800e-82 3.540021e-82 2.979425e-109
3.793005e+05 3.056601e+07 1.56035315e+08 3.951862e+25 -1.145707e-63 2.440474e-04 8.628492e+08  9.582790e+063.294840e+05 3.098744e-01 5.000000e-01 5.000000e-01 2.444498e-82 1.289981e-81 6.449906e-81 5.622345e-81 9.455461e-108
3.892820e+05 3.147051e+07 1.56041675e+08 3.952087e+25 -1.648939e-62 2.926070e-04 8.697109e+08  9.597592e+063.373076e+05 3.098681e-01 5.000000e-01 5.000000e-01 3.541921e-81 1.868322e-80 9.341608e-80 8.146418e-80 2.684868e-106
3.992636e+05 3.238075e+07 1.56048035e+08 3.952312e+25 -2.176027e-61 3.493897e-04 8.765722e+08  9.612488e+063.451056e+05 3.098618e-01 5.000000e-01 5.000000e-01 4.706731e-80 2.481727e-79 1.240863e-78 1.082548e-78 6.863147e-105
4.092452e+05 3.329667e+07 1.56054394e+08 3.952537e+25 -2.645854e-60 4.155613e-04 8.834332e+08  9.627479e+063.528789e+05 3.098554e-01 5.000000e-01 5.000000e-01 5.764193e-79 3.038069e-78 1.519034e-77 1.325764e-77 1.588349e-103
4.192268e+05 3.421827e+07 1.56060754e+08 3.952762e+25 -2.977522e-59 4.924237e-04 8.902938e+08  9.642562e+063.606284e+05 3.098491e-01 5.000000e-01 5.000000e-01 6.534861e-78 3.442884e-77 1.721442e-76 1.503018e-76 3.345534e-102
4.292084e+05 3.514551e+07 1.56067114e+08 3.952987e+25 -3.114064e-58 5.814268e-04 8.971541e+08  9.657739e+063.683549e+05 3.098428e-01 5.000000e-01 5.000000e-01 6.886568e-77 3.626756e-76 1.813378e-75 1.583911e-75 6.444464e-101
4.391900e+05 3.607836e+07 1.56073474e+08 3.953212e+25 -3.038388e-57 6.841825e-04 9.040141e+08  9.673008e+063.760592e+05 3.098365e-01 5.000000e-01 5.000000e-01 6.771615e-76 3.564835e-75 1.782418e-74 1.557472e-74 1.140413e-99
4.491716e+05 3.701680e+07 1.56079834e+08 3.953437e+25 -2.775490e-56 8.024786e-04 9.108737e+08  9.688369e+063.837420e+05 3.098302e-01 5.000000e-01 5.000000e-01 6.235005e-75 3.281089e-74 1.640544e-73 1.434051e-73 1.861675e-98
4.591532e+05 3.796080e+07 1.56086194e+08 3.953663e+25 -2.381461e-55 9.382949e-04 9.177330e+08  9.703822e+063.914041e+05 3.098239e-01 5.000000e-01 5.000000e-01 5.393340e-74 2.837103e-73 1.418552e-72 1.240468e-72 2.814488e-97
4.691348e+05 3.891034e+07 1.56092554e+08 3.953888e+25 -1.925219e-54 1.093819e-03 9.245919e+08  9.719366e+063.990463e+05 3.098176e-01 5.000000e-01 5.000000e-01 4.396187e-73 2.311701e-72 1.155851e-71 1.011123e-71 3.954757e-96
4.791164e+05 3.986539e+07 1.56098913e+08 3.954113e+25 -1.470565e-53 1.271465e-03 9.314506e+08  9.735001e+064.066692e+05 3.098113e-01 5.000000e-01 5.000000e-01 3.386268e-72 1.779988e-71 8.899942e-71 7.788415e-71 5.182410e-95
4.890980e+05 4.082591e+07 1.56105273e+08 3.954338e+25 -1.064158e-52 1.473890e-03 9.383088e+08  9.750726e+064.142735e+05 3.098049e-01 5.000000e-01 5.000000e-01 2.471380e-71 1.298607e-70 6.493033e-70 5.684173e-70 6.353395e-94
4.990796e+05 4.179189e+07 1.56111633e+08 3.954563e+25 -7.313415e-52 1.704017e-03 9.451668e+08  9.766541e+064.218599e+05 3.097986e-01 5.000000e-01 5.000000e-01 1.713172e-70 8.998771e-70 4.499385e-69 3.940294e-69 7.308441e-93
5.090611e+05 4.276330e+07 1.56117993e+08 3.954788e+25 -4.784444e-51 1.965054e-03 9.520244e+08  9.782445e+064.294290e+05 3.097923e-01 5.000000e-01 5.000000e-01 1.130593e-69 5.936554e-69 2.968277e-68 2.600363e-68 7.910253e-92
5.190427e+05 4.374010e+07 1.56124353e+08 3.955013e+25 -2.985936e-50 2.260518e-03 9.588816e+08  9.798438e+064.369815e+05 3.097860e-01 5.000000e-01 5.000000e-01 7.118560e-69 3.736528e-68 1.868264e-67 1.637269e-67 8.076636e-91
5.290243e+05 4.472228e+07 1.56130713e+08 3.955238e+25 -1.781350e-49 2.594256e-03 9.657386e+08  9.814520e+064.445179e+05 3.097797e-01 5.000000e-01 5.000000e-01 4.284866e-68 2.248345e-67 1.124172e-66 9.855191e-67 7.798385e-90
5.390059e+05 4.570980e+07 1.56137073e+08 3.955463e+25 -1.017807e-48 2.970476e-03 9.725952e+08  9.830690e+064.520389e+05 3.097734e-01 5.000000e-01 5.000000e-01 2.470392e-67 1.295814e-66 6.479071e-66 5.681902e-66 7.136894e-89
5.489875e+05 4.670265e+07 1.56143433e+08 3.955688e+25 -5.579660e-48 3.393770e-03 9.794514e+08  9.846947e+064.595450e+05 3.097671e-01 5.000000e-01 5.000000e-01 1.366637e-66 7.166099e-66 3.583050e-65 3.143265e-65 6.204154e-88
5.589691e+05 4.770078e+07 1.56149792e+08 3.955913e+25 -2.939733e-47 3.869145e-03 9.863073e+08  9.863292e+064.670368e+05 3.097608e-01 5.000000e-01 5.000000e-01 7.266547e-66 3.809011e-65 1.904506e-64 1.671306e-64 5.133449e-87
5.689507e+05 4.870419e+07 1.56156152e+08 3.956138e+25 -1.490925e-46 4.402053e-03 9.931629e+08  9.879723e+064.745148e+05 3.097545e-01 5.000000e-01 5.000000e-01 3.719441e-65 1.949027e-64 9.745135e-64 8.554716e-64 4.050643e-86
5.789323e+05 4.971283e+07 1.56162512e+08 3.956363e+25 -7.289574e-46 4.998429e-03 1.000018e+09  9.896241e+064.819796e+05 3.097482e-01 5.000000e-01 5.000000e-01 1.835481e-64 9.614959e-64 4.807479e-63 4.221606e-63 3.053621e-85
5.889139e+05 5.072669e+07 1.56168872e+08 3.956588e+25 -3.440812e-45 5.664727e-03 1.006873e+09  9.912844e+064.894316e+05 3.097419e-01 5.000000e-01 5.000000e-01 8.744924e-64 4.579442e-63 2.289721e-62 2.011333e-62 2.203071e-84
5.988955e+05 5.174573e+07 1.56175232e+08 3.956813e+25 -1.570046e-44 6.407962e-03 1.013728e+09  9.929533e+064.968714e+05 3.097356e-01 5.000000e-01 5.000000e-01 4.027859e-63 2.108585e-62 1.054293e-61 9.264077e-62 1.523595e-83
6.088771e+05 5.276993e+07 1.56181592e+08 3.957038e+25 -6.934351e-44 7.235762e-03 1.020582e+09  9.946307e+065.042995e+05 3.097292e-01 5.000000e-01 5.000000e-01 1.795772e-62 9.397880e-62 4.698941e-61 4.130277e-61 1.011596e-82
6.188586e+05 5.379927e+07 1.56187952e+08 3.957263e+25 -2.967978e-43 8.156421e-03 1.027436e+09  9.963166e+065.117163e+05 3.097229e-01 5.000000e-01 5.000000e-01 7.758981e-62 4.059256e-61 2.029628e-60 1.784566e-60 6.457657e-82
6.288402e+05 5.483338e+07 1.56194311e+08 3.957493e+25 -1.232451e-42 9.178970e-03 1.033964e+09  9.980108e+065.192857e+05 3.097166e-01 5.000000e-01 5.000000e-01 3.252559e-61 1.701106e-60 8.505529e-60 7.480886e-60 3.968941e-81
6.388218e+05 5.586950e+07 1.56200801e+08 3.957762e+25 -4.968348e-42 1.031288e-02 1.037729e+09  9.997129e+065.282463e+05 3.097102e-01 5.000000e-01 5.000000e-01 1.323842e-60 6.921627e-60 3.460813e-59 3.044837e-59 2.350602e-80
6.488034e+05 5.690759e+07 1.56208387e+08 3.958032e+25 -1.939520e-41 1.156532e-02 1.041480e+09  1.001418e+075.372043e+05 3.097027e-01 5.000000e-01 5.000000e-01 5.222756e-60 2.729853e-59 1.364926e-58 1.201234e-58 1.338102e-79
6.587850e+05 5.794764e+07 1.56215974e+08 3.958301e+25 -7.341121e-41 1.294691e-02 1.045230e+09  1.003126e+075.461524e+05 3.096952e-01 5.000000e-01 5.000000e-01 1.998277e-59 1.044153e-58 5.220765e-58 4.596036e-58 7.328101e-79
6.687666e+05 5.898965e+07 1.56223560e+08 3.958571e+25 -2.697383e-40 1.446932e-02 1.048980e+09  1.004838e+075.550915e+05 3.096876e-01 5.000000e-01 5.000000e-01 7.422542e-59 3.877322e-58 1.938661e-57 1.707184e-57 3.866215e-78
6.787482e+05 6.003360e+07 1.56231147e+08 3.958840e+25 -9.632335e-40 1.614540e-02 1.052730e+09  1.006552e+075.640207e+05 3.096801e-01 5.000000e-01 5.000000e-01 2.679581e-58 1.399324e-57 6.996622e-57 6.163036e-57 1.967786e-77
6.887298e+05 6.107949e+07 1.56238733e+08 3.959109e+25 -3.346568e-39 1.798939e-02 1.056480e+09  1.008270e+075.729412e+05 3.096726e-01 5.000000e-01 5.000000e-01 9.411569e-58 4.913457e-57 2.456729e-56 2.164661e-56 9.674926e-77
6.987114e+05 6.212730e+07 1.56246320e+08 3.959379e+25 -1.132378e-38 2.001727e-02 1.060229e+09  1.009991e+075.818528e+05 3.096651e-01 5.000000e-01 5.000000e-01 3.219433e-57 1.680272e-56 8.401363e-56 7.404696e-56 4.600926e-76
7.086930e+05 6.317702e+07 1.56253906e+08 3.959648e+25 -3.735319e-38 2.224708e-02 1.063979e+09  1.011715e+075.907555e+05 3.096576e-01 5.000000e-01 5.000000e-01 1.073589e-56 5.601638e-56 2.800819e-55 2.469255e-55 2.118813e-75
7.186746e+05 6.422865e+07 1.56261493e+08 3.959918e+25 -1.202288e-37 2.469942e-02 1.067728e+09  1.013442e+075.996496e+05 3.096500e-01 5.000000e-01 5.000000e-01 3.493302e-56 1.822179e-55 9.110893e-55 8.034595e-55 9.459882e-75
7.286561e+05 6.528217e+07 1.56269079e+08 3.960187e+25 -3.779309e-37 2.739802e-02 1.071477e+09  1.015172e+076.085352e+05 3.096425e-01 5.000000e-01 5.000000e-01 1.110071e-55 5.788752e-55 2.894376e-54 2.553164e-54 4.099161e-74
7.386377e+05 6.633757e+07 1.56276666e+08 3.960456e+25 -1.161180e-36 3.037054e-02 1.075225e+09  1.016905e+076.174126e+05 3.096350e-01 5.000000e-01 5.000000e-01 3.447790e-55 1.797445e-54 8.987223e-54 7.929919e-54 1.725710e-73
7.486193e+05 6.739485e+07 1.56284253e+08 3.960726e+25 -3.489893e-36 3.364945e-02 1.078974e+09  1.018642e+076.262826e+05 3.096275e-01 5.000000e-01 5.000000e-01 1.047483e-54 5.459382e-54 2.729691e-53 2.409211e-53 7.065287e-73
7.586009e+05 6.845399e+07 1.56291839e+08 3.960995e+25 -1.026774e-35 3.727319e-02 1.082722e+09  1.020381e+076.351440e+05 3.096200e-01 5.000000e-01 5.000000e-01 3.115253e-54 1.623203e-53 8.116014e-53 7.165082e-53 2.815696e-72
7.685825e+05 6.951499e+07 1.56299426e+08 3.961265e+25 -2.959363e-35 4.128764e-02 1.086470e+09  1.022123e+076.439976e+05 3.096125e-01 5.000000e-01 5.000000e-01 9.075876e-54 4.727726e-53 2.363863e-52 2.087452e-52 1.093256e-71
7.785641e+05 7.057783e+07 1.56307012e+08 3.961534e+25 -8.361362e-35 4.574772e-02 1.090218e+09  1.023868e+076.528437e+05 3.096050e-01 5.000000e-01 5.000000e-01 2.591952e-53 1.349821e-52 6.749103e-52 5.961489e-52 4.139103e-71
7.885457e+05 7.164251e+07 1.56314599e+08 3.961803e+25 -2.317355e-34 5.071955e-02 1.093965e+09  1.025617e+076.616831e+05 3.095974e-01 5.000000e-01 5.000000e-01 7.260871e-53 3.780284e-52 1.890142e-51 1.670000e-51 1.529290e-70
7.985273e+05 7.270901e+07 1.56322185e+08 3.962073e+25 -6.303947e-34 5.628288e-02 1.097712e+09  1.027368e+076.705146e+05 3.095899e-01 5.000000e-01 5.000000e-01 1.996370e-52 1.039117e-51 5.195585e-51 4.591651e-51 5.518326e-70
8.085089e+05 7.377733e+07 1.56329772e+08 3.962342e+25 -1.684200e-33 6.253402e-02 1.101460e+09  1.029122e+076.793390e+05 3.095824e-01 5.000000e-01 5.000000e-01 5.390630e-52 2.805122e-51 1.402561e-50 1.239845e-50 1.946162e-69
8.184905e+05 7.484746e+07 1.56337358e+08 3.962612e+25 -4.421608e-33 6.958933e-02 1.105206e+09  1.030879e+076.881565e+05 3.095749e-01 5.000000e-01 5.000000e-01 1.430303e-51 7.440980e-51 3.720490e-50 3.289697e-50 6.712913e-69
8.284721e+05 7.591938e+07 1.56344945e+08 3.962881e+25 -1.141317e-32 7.758925e-02 1.108953e+09  1.032639e+076.969673e+05 3.095674e-01 5.000000e-01 5.000000e-01 3.731124e-51 1.940585e-50 9.702927e-50 8.581586e-50 2.266188e-68
8.384536e+05 7.699310e+07 1.56352531e+08 3.963151e+25 -2.897976e-32 8.670306e-02 1.112700e+09  1.034402e+077.057715e+05 3.095599e-01 5.000000e-01 5.000000e-01 9.574090e-51 4.978316e-50 2.489158e-49 2.202041e-49 7.492272e-68
8.484352e+05 7.806859e+07 1.56360118e+08 3.963420e+25 -7.242029e-32 9.713431e-02 1.116446e+09  1.036168e+077.145692e+05 3.095524e-01 5.000000e-01 5.000000e-01 2.417769e-50 1.256877e-49 6.284385e-49 5.560869e-49 2.427348e-67
8.584168e+05 7.914585e+07 1.56367704e+08 3.963689e+25 -1.781998e-31 1.091272e-01 1.120192e+09  1.037937e+077.233607e+05 3.095449e-01 5.000000e-01 5.000000e-01 6.011681e-50 3.124409e-49 1.562204e-48 1.382687e-48 7.710958e-67
8.683984e+05 8.022487e+07 1.56375291e+08 3.963959e+25 -4.319483e-31 1.229736e-01 1.123938e+09  1.039708e+077.321454e+05 3.095374e-01 5.000000e-01 5.000000e-01 1.472437e-49 7.650740e-49 3.825370e-48 3.386605e-48 2.403193e-66
8.783800e+05 8.130565e+07 1.56382877e+08 3.964228e+25 -1.031864e-30 1.390216e-01 1.127683e+09  1.041483e+077.409248e+05 3.095299e-01 5.000000e-01 5.000000e-01 3.554060e-49 1.846237e-48 9.231185e-48 8.174339e-48 7.352066e-66
8.883616e+05 8.238816e+07 1.56390464e+08 3.964498e+25 -2.430295e-30 1.576842e-01 1.131429e+09  1.043260e+077.496976e+05 3.095223e-01 5.000000e-01 5.000000e-01 8.457465e-49 4.392378e-48 2.196189e-47 1.945217e-47 2.209006e-65
8.983432e+05 8.347241e+07 1.56398050e+08 3.964767e+25 -5.645664e-30 1.794505e-01 1.135174e+09  1.045040e+077.584648e+05 3.095148e-01 5.000000e-01 5.000000e-01 1.984979e-48 1.030654e-47 5.153271e-47 4.565451e-47 6.521824e-65
9.083248e+05 8.455839e+07 1.56405637e+08 3.965036e+25 -1.294066e-29 2.048966e-01 1.138919e+09  1.046823e+077.672264e+05 3.095073e-01 5.000000e-01 5.000000e-01 4.596609e-48 2.386125e-47 1.193063e-46 1.057220e-46 1.892932e-64
9.183064e+05 8.564608e+07 1.56413224e+08 3.965306e+25 -2.927812e-29 2.346990e-01 1.142663e+09  1.048609e+077.759826e+05 3.094998e-01 5.000000e-01 5.000000e-01 1.050618e-47 5.452552e-47 2.726277e-46 2.416420e-46 5.403751e-64
9.282880e+05 8.673547e+07 1.56420810e+08 3.965575e+25 -6.540759e-29 2.696491e-01 1.146408e+09  1.050397e+077.847328e+05 3.094923e-01 5.000000e-01 5.000000e-01 2.370994e-47 1.230229e-46 6.151144e-46 5.453284e-46 1.517901e-63
9.382696e+05 8.782656e+07 1.56428397e+08 3.965845e+25 -1.443309e-28 3.106691e-01 1.150152e+09  1.052188e+077.934778e+05 3.094848e-01 5.000000e-01 5.000000e-01 5.284963e-47 2.741566e-46 1.370783e-45 1.215541e-45 4.197251e-63
9.482511e+05 8.891934e+07 1.56435983e+08 3.966114e+25 -3.146865e-28 3.588292e-01 1.153896e+09  1.053982e+078.022179e+05 3.094773e-01 5.000000e-01 5.000000e-01 1.163915e-46 6.036426e-46 3.018213e-45 2.677003e-45 1.142981e-62
9.582327e+05 9.001381e+07 1.56443570e+08 3.966383e+25 -6.781430e-28 4.153673e-01 1.157640e+09  1.055779e+078.109531e+05 3.094698e-01 5.000000e-01 5.000000e-01 2.533404e-46 1.313608e-45 6.568042e-45 5.826827e-45 3.066463e-62
9.682143e+05 9.110994e+07 1.56451156e+08 3.966653e+25 -1.444841e-27 4.817095e-01 1.161384e+09  1.057578e+078.196828e+05 3.094623e-01 5.000000e-01 5.000000e-01 5.451586e-46 2.826103e-45 1.413052e-44 1.253865e-44 8.108245e-62
9.781959e+05 9.220773e+07 1.56458743e+08 3.966922e+25 -3.044398e-27 5.594932e-01 1.165127e+09  1.059380e+078.284079e+05 3.094548e-01 5.000000e-01 5.000000e-01 1.160121e-45 6.012743e-45 3.006372e-44 2.668277e-44 2.113812e-61
9.881775e+05 9.330718e+07 1.56466329e+08 3.967192e+25 -6.345811e-27 6.505916e-01 1.168870e+09  1.061184e+078.371278e+05 3.094473e-01 5.000000e-01 5.000000e-01 2.442121e-45 1.265441e-44 6.327204e-44 5.616877e-44 5.435135e-61
